brand,discounted_price,ratings
GOOGLE,29999,4.3
GOOGLE,29999,4.3
INFINIX,8499,4.3
INFINIX,8999,4.2
INFINIX,8999,4.2
INFINIX,9999,4.2
INFINIX,14999,4.2
INFINIX,13499,4.2
INFINIX,19999,4.2
INFINIX,14999,4.2
INFINIX,9999,4.3
INFINIX,9999,4.2
INFINIX,8199,4.4
INFINIX,8199,4.4
INFINIX,8199,4.4
INFINIX,8299,4.3
INFINIX,8199,4.4
INFINIX,13499,4.2
INFINIX,14999,4.2
INFINIX,8999,4.3
INFINIX,8999,4.3
INFINIX,11999,4.3
INFINIX,11999,4.3
INFINIX,7199,4.3
INFINIX,16999,4.1
INFINIX,15999,4.2
INFINIX,15999,4.2
INFINIX,16999,4.1
INFINIX,15999,4.2
INFINIX,8999,4.3
INFINIX,11499,4.3
INFINIX,14499,4.2
INFINIX,13499,4.2
INFINIX,14499,4.2
INFINIX,14499,4.2
INFINIX,8299,4.3
INFINIX,10999,4.2
INFINIX,8999,4.3
INFINIX,10999,4.3
INFINIX,10999,4.3
INFINIX,9999,4.2
INFINIX,9999,4.2
INFINIX,8499,4.3
INFINIX,13999,4.3
INFINIX,10999,4.2
INFINIX,8299,4.3
INFINIX,6999,4.3
INFINIX,5799,4.4
INFINIX,5799,4.4
INFINIX,5799,4.4
INFINIX,14999,4.2
INFINIX,13999,4.3
INFINIX,14999,4.2
INFINIX,8499,4.3
INFINIX,8499,4.3
INFINIX,8999,4.2
INFINIX,8999,4.2
INFINIX,6999,4.3
INFINIX,6499,4.3
INFINIX,13099,4.2
INFINIX,13099,4.2
INFINIX,6999,4.3
INFINIX,10999,4.3
INFINIX,6999,4.3
INFINIX,11499,4.3
INFINIX,9999,4.2
INFINIX,17999,4.2
INFINIX,17999,4.2
INFINIX,12499,4.2
IQOO,29999,4.4
IQOO,24599,4.3
IQOO,14535,4.2
IQOO,30300,4.4
IQOO,13976,4.1
IQOO,15824,4.3
IQOO,17489,4.2
IQOO,29990,4.4
IQOO,16239,4.3
IQOO,14394,4.2
IQOO,23800,4.3
ITEL,5899,4.3
ITEL,6999,4.1
ITEL,5899,4.3
ITEL,5699,4.2
ITEL,5699,4.2
ITEL,5850,4.3
LAVA,7999,4.1
LAVA,10260,4.4
LAVA,7999,4.1
LAVA,7799,4.1
LAVA,7499,4.1
MICROMAX,5999,4.2
MICROMAX,5999,4.2
MOTOROLA,24999,4.1
MOTOROLA,6999,4.2
MOTOROLA,22999,4.1
MOTOROLA,6999,4.2
MOTOROLA,19999,4.2
MOTOROLA,21499,4.1
MOTOROLA,39999,4.4
MOTOROLA,16999,4.2
MOTOROLA,6999,4.2
MOTOROLA,16499,4.2
MOTOROLA,10999,4.2
MOTOROLA,16999,4.1
MOTOROLA,11999,4.2
MOTOROLA,8999,4.2
MOTOROLA,12999,4.1
MOTOROLA,6999,4.2
MOTOROLA,11999,4.2
MOTOROLA,6999,4.2
MOTOROLA,10499,4.2
MOTOROLA,12999,4.2
MOTOROLA,10499,4.2
MOTOROLA,16499,4.2
MOTOROLA,9499,4.2
MOTOROLA,8999,4.1
MOTOROLA,7999,4.2
MOTOROLA,20499,4.1
MOTOROLA,12999,4.1
MOTOROLA,10999,4.2
MOTOROLA,10999,4.1
MOTOROLA,16999,4.1
MOTOROLA,9499,4.2
MOTOROLA,15999,4.2
MOTOROLA,15999,4.2
MOTOROLA,8999,4.2
MOTOROLA,16999,4.1
MOTOROLA,14499,4.2
MOTOROLA,7999,4.2
MOTOROLA,19999,4.2
MOTOROLA,24999,4.1
MOTOROLA,7999,4.2
MOTOROLA,15999,4.2
MOTOROLA,10999,4.2
MOTOROLA,15999,4.2
MOTOROLA,22999,4.1
MOTOROLA,20999,4.1
MOTOROLA,39999,4.4
ONEPLUS,21999,4.3
ONEPLUS,19998,4.3
ONEPLUS,19975,4.3
ONEPLUS,19980,4.3
ONEPLUS,19888,4.3
ONEPLUS,19922,4.3
ONEPLUS,19985,4.3
OPPO,11990,4.3
OPPO,24990,4.2
OPPO,17089,4.3
OPPO,11400,4.2
OPPO,11400,4.2
OPPO,13999,4.4
OPPO,10990,4.4
OPPO,14180,4.3
OPPO,9499,4.5
OPPO,12499,4.4
OPPO,12499,4.4
OPPO,17990,4.4
OPPO,15990,4.3
OPPO,15999,4.3
OPPO,15999,4.3
OPPO,15990,4.3
OPPO,25490,4.2
OPPO,15990,4.5
OPPO,13990,4.4
OPPO,12990,4.3
OPPO,21890,4.2
OPPO,12990,4.3
OPPO,14990,4.3
OPPO,20999,4.4
OPPO,13990,4.4
OPPO,21999,4.4
OPPO,17999,4.3
OPPO,15499,4.3
OPPO,29999,4.3
OPPO,12910,4.3
OPPO,15199,4.1
OPPO,13499,4.3
OPPO,14990,4.3
OPPO,9990,4.4
OPPO,14990,4.4
OPPO,16490,4.3
OPPO,9990,4.3
OPPO,17999,4.3
OPPO,13990,4.4
OPPO,29999,4.3
OPPO,16999,4.4
